,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
386,Côte d'Ivoire - Zougban Siman - 1043231,1043231,Zougban Siman,Côte d'Ivoire,Brobo,Zougban (Bassin de Saminikro),Identified,,,Siman,Not applicable,7.682331,-4.755645,,"Cette rivière ne tarissait jamais mais suite au changement climatique, elle tari en saison sèche, ce site est dans une cuvette",No,,0,10 blessés suite à la traversée,150.0,90,"Bouaké, Brobo, Saminikro et Zougban, en bordure du site en présence du membre GSC",112.0,"En Aval, du village à la grande voie en passant par Sokouamékro, en 7 km.cette piste est raccourci pour les villages tels que Srakakro,Takikrro,Bokakouamékro et Tiébissou",Non,,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.755645,7.682331,"River; mudflat (low point with stagnant water, seasonally)",Walking path,Rural,11/15/22,Gbêkê,Bouaké,POINT (-4.755645 7.682331),7.682331,-4.755645,no
387,Côte d'Ivoire - Kpékékro Anoumangni - 1043285,1043285,Kpékékro Anoumangni,Côte d'Ivoire,Brobo,Kpékékro (Bassin de Mamini),Identified,,,Anoumangni,Not applicable,7.764035,-4.768284,,Cette rivière est la dérivée de la rivière Fêtê .elle est traversée pour accéder au village Alloukro et Andokrokandjénou,No,,0,0,120.0,3,"Bouaké, Brobo, Mamini et Kpékékro,en bordure du site en présence du membre GSC. La traversée se fait pour des visites familiales et des funérailles",11.0,"En Amont par Mamini, Alloukro, Andokrokankrénou, en 12 km",Non,,,Feme - Farms,"Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.768284,7.764035,River,motorcycle accessible path,Rural,11/18/22,Gbêkê,Bouaké,POINT (-4.768284 7.764035),7.764035,-4.768284,no
389,Côte d'Ivoire - Saminikro Somolo N'zué 2 - 1043510,1043510,Saminikro Somolo N'zué 2,Côte d'Ivoire,Brobo,Saminikro,Identified,,,Somolo N'zué 2,Not applicable,7.697529,-4.78948,,La communauté traverse pour aller aux champs,No,,0,0,90.0,7,"Bouaké, Brobo, Saminikro et Saminikro. En bordure du site en présence du membre GSC de Saminikro",52.0,,Non,,,Feme - Farms,,-4.78948,7.697529,swamp (water year round),Walking path,Rural,11/27/22,Gbêkê,Bouaké,POINT (-4.78948 7.697529),7.697529,-4.78948,no
390,Côte d'Ivoire - Tanou-Broukro Gbandan - 1043511,1043511,Tanou-Broukro Gbandan,Côte d'Ivoire,Brobo,Tanou-Broukro (Bassin de Saminikro),Identified,,,Gbandan,Not applicable,7.714942,-4.738088,,La traversée se fait pour accéder à Sarakakro,No,,0,0,120.0,7,,17.0,"En Amont par le village de Saminikro, puis Zougban et enfin à sarakakro en10km",Non,,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.738088,7.714942,River,Walking path,Rural,11/27/22,Gbêkê,Bouaké,POINT (-4.738088 7.714942),7.714942,-4.738088,no
391,Côte d'Ivoire - Ahouzankro Diclo - 1043450,1043450,Ahouzankro Diclo,Côte d'Ivoire,Brobo,Ahouzankro (Bassin de Mamini),Identified,,,Diclo,Not applicable,7.762553,-4.743345,,La traversée se fait pour avoir accès au champ et à un village nommé Fêtêkro,No,,0,1 adulte noyé mais sauver par la communauté. Cela s'est produit en saison pluvieuse,120.0,3,"Bouaké, Brobo, Mamini et Ahouzankro. En bordure du site en présence d'un membre de la communauté",15.0,"En Aval par Mamini ,Alloukro, N'dokro,douro, enfin Fêtêkro en 40km..pour avoir accès aux champs il faut traverser le village et avoir accès aux champs en parcourant 10km",Non,,,Feme - Farms,,-4.743345,7.762553,"River; mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,11/23/22,Gbêkê,Bouaké,POINT (-4.743345 7.762553),7.762553,-4.743345,no
392,Côte d'Ivoire - Ahouzankro Doumo - 1043448,1043448,Ahouzankro Doumo,Côte d'Ivoire,Brobo,Ahouzankro Bassin de Mamini),Identified,,,Doumo,Not applicable,7.745618,-4.756953,,En saison de pluie cette eau est très dangereuse. Cet site est emprunté par les véhicules,No,,0,0,90.0,7,"Bouaké, Brobo, Mamini et Takassou. En bordure du site en présence d'un membre de la communauté, la traversée se fait à pied",46.0,,Non,,,Feme - Farms,,-4.756953,7.745618,"River; mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,11/23/22,Gbêkê,Bouaké,POINT (-4.756953 7.745618),7.745618,-4.756953,no
394,Côte d'Ivoire - Zougban Fêtêssou - 1043234,1043234,Zougban Fêtêssou,Côte d'Ivoire,Brobo,Zougban (Bassin de Saminikro),Identified,,,Fêtêssou,Not applicable,7.678219,-4.741178,,La rivière Fêtêssou est l'élargissement de la rivière N'zuéblé Djôma. D'où la même rivière mais de nom différent. Cette rivière est visible uniquement en saison de pluie .sol très glissant en ce moment,No,,0,0,60.0,3,"Bouaké, Brobo, Saminikro et Zougban, Sur le site en présence du membre GSC de Zougban. La traversée se fait à pied car iln'y à plus d'eau actuellement",40.0,"En Aval par Sankro,Sokouamékro, kouassikro,pinikro,Bounda et enfin le site en 10km",Non,,,Feme - Farms,"Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.741178,7.678219,River,Walking path,Rural,11/15/22,Gbêkê,Bouaké,POINT (-4.741178 7.678219),7.678219,-4.741178,no
396,Côte d'Ivoire - Ahouzankro Touglonou 2 - 1043300,1043300,Ahouzankro Touglonou 2,Côte d'Ivoire,Brobo,Ahouzankro (Bassin de Mamini),Identified,,,Touglonou 2,Not applicable,7.735205,-4.765171,,Cette piste est emprunter par les véhicules,No,,0,0,120.0,30,"Bouaké, Brobo, Mamini et Ahouzankro. En bordure du site en présence du membre de la communauté. Le village après la traversée est Bokassi. Les véhicules traversent pour aller chercher de l'anarcade.",22.0,Aucun alternative pour accéder au village derrière en saison des pluies.,Non,,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.765171,7.735205,River,non-graded road or car/vehicle accessible path,Rural,11/19/22,Gbêkê,Bouaké,POINT (-4.765171 7.735205),7.735205,-4.765171,no
397,Côte d'Ivoire - Plongo Yaha N'gblé - 1043711,1043711,Plongo Yaha N'gblé,Côte d'Ivoire,Djébonoua,Plongo (Bassin de Kondoukro),Identified,,,Yaha N'gblé,Not applicable,7.434155,-5.048253,,Ce site sert de frontière entre le village de Plongo et Bossi,No,,0,0,120.0,2,"Bouaké, Djébonoua, Kondoukro et plongo. En bordure du site en présence d'un membre du GSC de Kondoukro",14.0,En Aval par la grande route principale et on sort au village de Plango Nouveau et on arrive à Kondoukro et enfin on va à Bossi .Cela en 20km,Non,,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.048253,7.434155,River,Walking path,Rural,12/4/22,Gbêkê,Bouaké,POINT (-5.048253 7.434155),7.434155,-5.048253,no
398,Côte d'Ivoire - Mamini Assa - 1043283,1043283,Mamini Assa,Côte d'Ivoire,Brobo,Mamini (Bassin de Mamini),Identified,,,Assa,Not applicable,7.737517,-4.811356,,On traverse la rivière pour accéder aux plantations,No,,0,0,120.0,21,"Bouaké, Brobo, Mamini et Mamini. En bordure du site en présence d'un Membre de la communauté. On traverse en sautant",28.0,En Amont par Takassou et enfin au site en 5km,Non,,,Feme - Farms,,-4.811356,7.737517,River,Walking path,Rural,11/18/22,Gbêkê,Bouaké,POINT (-4.811356 7.737517),7.737517,-4.811356,no
399,Côte d'Ivoire - Kpékékro Sôssô N'zué 2 - 1043614,1043614,Kpékékro Sôssô N'zué 2,Côte d'Ivoire,Brobo,Kpékékro (Mamini),Identified,,,Sôssô N'zué 2,Not applicable,7.761728,-4.758205,,La traversée mène au village de Bokassi 1,No,,0,0,120.0,3,"Bouaké, Brobo, Mamini et Kpékékro, en présence du notable la chefferie, la traversée se fait à pied .la communauté traverse pour des visites familiales et des funérailles",24.0,"En Amont par le village de Ahouzankro, et enfin Bokassi 1, en 4km .",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.758205,7.761728,River,motorcycle accessible path,Rural,12/1/22,Gbêkê,Bouaké,POINT (-4.758205 7.761728),7.761728,-4.758205,no
400,Côte d'Ivoire - Plongo Bloublou - 1043709,1043709,Plongo Bloublou,Côte d'Ivoire,Djébonoua,Plongo(Bassin de Djébonoua),Identified,,,Bloublou,Not applicable,7.453637,-5.066158,,La traversée mène au village de konzo,No,,0,4 personnes noyés,120.0,14,"Bouaké, Djébonoua, Kondoukro et plango.En bordure de la rivière d'un membre du GSC",21.0,"En Aval par la route principale Nouveau Plango,kondoukro et enfin konzo.cela en 6km",Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court)",-5.066158,7.453637,River,Walking path,Rural,12/4/22,Gbêkê,Bouaké,POINT (-5.066158 7.453637),7.453637,-5.066158,no
401,Côte d'Ivoire - Zougban N'zuéblé Djôma - 1043230,1043230,Zougban N'zuéblé Djôma,Côte d'Ivoire,Brobo,Zougban (Bassin de Saminikro),Identified,,,N'zuéblé Djôma,Not applicable,7.681124,-4.738872,No waterway or barrier,Cette rivière est traversée pour accéder aux champs et le village le plus proche Bounda. Le site seulement impracticable en saison des pluies,No,,0,0,60.0,3,"Bouaké, Brobo, Saminikro et Zougban, Sur le site en présence du membre GSC de Zougban. La traversée s'effectue pour des funérailles et visites familiales. La traversée se fait à pied sans obstacles présentement",23.0,"En Aval par Saminikro, Sokouamékro, kouassikro, pinikro, Bounda et enfin le site en 10 km",Non,,,Feme - Farms,"Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.738872,7.681124,"River; mudflat (low point with stagnant water, seasonally)",Walking path,Rural,11/15/22,Gbêkê,Bouaké,POINT (-4.738872 7.681124),7.681124,-4.738872,no
402,Côte d'Ivoire - Tanou-Broukro Anzan - 1043512,1043512,Tanou-Broukro Anzan,Côte d'Ivoire,Brobo,Tanou-Broukro ( Bassin de Saminikro),Identified,,,Anzan,Not applicable,7.722862,-4.738468,No waterway or barrier,"L'eau de ce site provient des montagnes de la chaîne Baoulé, et se déverse dans la rivière Gbandan. Ce site est très glissant lors de la saison pluvieuse",No,,0,0,120.0,14,"Bouaké, Brobo, Saminikro et Tanou-Broukro, en bordure du site en présence d'un membre GSC",25.0,"En Aval du village de Saminikro, à Zougban ,Sarakakro e,Fêtêkro et enfin au site en 25 km",Non,,,Feme - Farms,,-4.738468,7.722862,"River; mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/27/22,Gbêkê,Bouaké,POINT (-4.738468 7.722862),7.722862,-4.738468,no
403,Côte d'Ivoire - Kpékékro-N'drikro 2 - 1044247,1044247,Kpékékro-N'drikro 2,Côte d'Ivoire,Botro,Kpékékro (Bassin de Mamini),Identified,,,N'zué orklê,Not applicable,7.774785,-4.764998,,,No,,0,0,120.0,7,"Bouaké, Brobo, Mamini et Kpékékro. En bordure du site en présence du membre GSC et un membre de la communauté.la traversée se fait à pied",20.0,"En Amont par Mamini, puis N'drikro et enfin au site. Cela en 14 km",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.764998,7.774785,"River; mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,1/2/23,Gbêkê,Bouaké,POINT (-4.764998 7.774785),7.774785,-4.764998,no
404,Côte d'Ivoire - Kpékékro-N'driko - 1044246,1044246,Kpékékro-N'driko,Côte d'Ivoire,Brobo,Kpékékro (Bassin de Mamini),Identified,,,Ablo N'zué Djôma,Not applicable,7.768869,-4.770355,,,No,,0,0,120.0,3,"Bouaké ,Botro, Mamini et Kpékékro. En présence du membre GSC et un propriétaire de la parcelle",19.0,"En Amont, par Mamini, puis N'drikro et enfin on accède au site. Cela en 15km",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.770355,7.768869,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,1/2/23,Gbêkê,Bouaké,POINT (-4.770355 7.768869),7.768869,-4.770355,no
405,Côte d'Ivoire - Saminikro Akpêliè - 1043166,1043166,Saminikro Akpêliè,Côte d'Ivoire,Brobo,Saminikro,Identified,,,Akpêliè 2,Not applicable,7.694807,-4.762096,,,No,,0,0,90.0,7,"Bouaké, Brobo, Saminikro et Saminikro, sur le site ,en présence du membre GSC",26.0,"En Amont de Saminikro à Zougban,et enfin à la plantation, en 10 km",Non,,,Feme - Farms,,-4.762096,7.694807,River,Walking path,Rural,11/11/22,Gbêkê,Bouaké,POINT (-4.762096 7.694807),7.694807,-4.762096,no
406,Côte d'Ivoire - Kouadianikro 2 - 1042756,1042756,Kouadianikro 2,Côte d'Ivoire,Brobo,Kouadianikro (Bassin de Bounda),Identified,,,Longa 2,Not applicable,7.611149,-4.755858,,Cette rivière nommée loka 2 est précédée de la rivière loka 1. Elle tari en saison sèche,No,,0,5 blessés en traversant à vélo,60.0,7,,12.0,En Aval par kouadianikro à pindikro en 8 km,Non,,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court)",-4.755858,7.611149,River,Walking path,Rural,11/3/22,Gbêkê,Bouaké,POINT (-4.755858 7.611149),7.611149,-4.755858,no
407,Côte d'Ivoire - Raffierkro-Kpokahankro - 1042446,1042446,Raffierkro-Kpokahankro,Côte d'Ivoire,Commune de Bouaké,Raffierkro,Identified,,,Tchokonou,Not applicable,7.583974,-5.03336,,"La rivière Tchokonou est la source principle .la rivière Kôlloua est la dérivée de Tchokonou et Kôlloua sont allignées en longueur.d0nc on doit traverser launched après l""autre pour accéder au village de Kpokahankro.",No,,0,5.les blessés et des maladies parasitaires,30.0,7,"Bouaké, Commune de Bouaké, Raffierkro, chez kpli Joseph, 3 Hommes. La communauté se deplace pour des funérailles",22.0,En Amont de Raffierkro á kpokahankro:3km,Non,Hôpital - Hospital;Pharmacie - Pharmacy,Collège ou Université - University,Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.03336,7.583974,River,motorcycle accessible path,Rural,10/21/22,Gbêkê,Bouaké,POINT (-5.03336 7.583974),7.583974,-5.03336,no
409,Côte d'Ivoire - Assengou 1 - 1042814,1042814,Assengou 1,Côte d'Ivoire,Djebonoua,Assengou,Identified,,,Basfonds,Not applicable,7.57166,-5.035811,,Ce basfond est inaccessible en saison pluvieuse,No,,0,0,180.0,7,"Traversée à pied. Bouaké 'Djebonoua, Assengou, en bordure du site ,en présence de 2 membres du GSC de Lokassou et un membre de la communauté de Assengou",51.0,"En Aval par Assengou, Carrefour Mamian,puis Koffikro en 5km. Explication de sable perdu site",Non,,Collège ou Université - University,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc)",-5.035811,7.57166,swamp (water year round),Walking path,Rural,11/4/22,Gbêkê,Bouaké,POINT (-5.035811 7.57166),7.57166,-5.035811,yes
